ticker,name,exchange,sector,industry,country,currency,source
CONSE.IS,CONSUS ENERJI,BIST,,,TR,TRY,borsa_istanbul
CRFSA.IS,CARREFOURSA,BIST,,,TR,TRY,borsa_istanbul
CUSAN.IS,CUHADAROGLU METAL,BIST,,,TR,TRY,borsa_istanbul
CVKMD.IS,CVK MADEN,BIST,,,TR,TRY,borsa_istanbul
CWENE.IS,CW ENERJI,BIST,,,TR,TRY,borsa_istanbul
DAGI.IS,DAGI GIYIM,BIST,,,TR,TRY,borsa_istanbul
DAPGM.IS,DAP GAYRIMENKUL,BIST,,,TR,TRY,borsa_istanbul
DARDL.IS,DARDANEL,BIST,,,TR,TRY,borsa_istanbul
DCTTR.IS,DCT TRADING DIS TICARET,BIST,,,TR,TRY,borsa_istanbul
DENGE.IS,DENGE HOLDING,BIST,,,TR,TRY,borsa_istanbul
DERHL.IS,DERLUKS YATIRIM HOLDING,BIST,,,TR,TRY,borsa_istanbul
DERIM.IS,DERIMOD,BIST,,,TR,TRY,borsa_istanbul
DESA.IS,DESA DERI,BIST,,,TR,TRY,borsa_istanbul
DESPC.IS,DESPEC BILGISAYAR,BIST,,,TR,TRY,borsa_istanbul
DEVA.IS,DEVA HOLDING,BIST,,,TR,TRY,borsa_istanbul
DGATE.IS,DATAGATE BILGISAYAR,BIST,,,TR,TRY,borsa_istanbul
DGNMO.IS,DOGANLAR MOBILYA,BIST,,,TR,TRY,borsa_istanbul
DITAS.IS,DITAS DOGAN,BIST,,,TR,TRY,borsa_istanbul
DMRGD.IS,DMR UNLU MAMULLER,BIST,,,TR,TRY,borsa_istanbul
DMSAS.IS,DEMISAS DOKUM,BIST,,,TR,TRY,borsa_istanbul
DNISI.IS,DINAMIK ISI MAKINA YALITIM,BIST,,,TR,TRY,borsa_istanbul
DOAS.IS,DOGUS OTOMOTIV,BIST,,,TR,TRY,borsa_istanbul
DOCO.IS,DO-CO,BIST,,,TR,TRY,borsa_istanbul
DOFER.IS,DOFER YAPI MALZEMELERI,BIST,,,TR,TRY,borsa_istanbul
DOFRB.IS,DOF ROBOTIK,BIST,,,TR,TRY,borsa_istanbul
DOHOL.IS,DOGAN HOLDING,BIST,,,TR,TRY,borsa_istanbul
DOKTA.IS,DOKTAS DOKUMCULUK,BIST,,,TR,TRY,borsa_istanbul
DSTKF.IS,DESTEK FINANS FAKTORING,BIST,,,TR,TRY,borsa_istanbul
DUNYH.IS,DUNYA HOLDING,BIST,,,TR,TRY,borsa_istanbul
DURDO.IS,DURAN DOGAN BASIM,BIST,,,TR,TRY,borsa_istanbul
DURKN.IS,DURUKAN SEKERLEME,BIST,,,TR,TRY,borsa_istanbul
DYOBY.IS,DYO BOYA,BIST,,,TR,TRY,borsa_istanbul
DZGYO.IS,DENIZ GMYO,BIST,,,TR,TRY,borsa_istanbul
EBEBK.IS,EBEBEK MAGAZACILIK,BIST,,,TR,TRY,borsa_istanbul
ECILC.IS,ECZACIBASI ILAC,BIST,,,TR,TRY,borsa_istanbul
ECOGR.IS,ECOGREEN ENERJI,BIST,,,TR,TRY,borsa_istanbul
ECZYT.IS,ECZACIBASI YATIRIM,BIST,,,TR,TRY,borsa_istanbul
EDATA.IS,E-DATA TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
EDIP.IS,EDIP GAYRIMENKUL,BIST,,,TR,TRY,borsa_istanbul
EFOR.IS,EFOR YATIRIM,BIST,,,TR,TRY,borsa_istanbul
EGEEN.IS,EGE ENDUSTRI,BIST,,,TR,TRY,borsa_istanbul
EGEGY.IS,EGEYAPI AVRUPA GMYO,BIST,,,TR,TRY,borsa_istanbul
EGEPO.IS,NASMED EGEPOL,BIST,,,TR,TRY,borsa_istanbul
EGGUB.IS,EGE GUBRE,BIST,,,TR,TRY,borsa_istanbul
EGPRO.IS,EGE PROFIL,BIST,,,TR,TRY,borsa_istanbul
EGSER.IS,EGE SERAMIK,BIST,,,TR,TRY,borsa_istanbul
EKGYO.IS,EMLAK KONUT GMYO,BIST,,,TR,TRY,borsa_istanbul
EKOS.IS,EKOS TEKNOLOJI,BIST,,,TR,TRY,borsa_istanbul
EKSUN.IS,EKSUN GIDA,BIST,,,TR,TRY,borsa_istanbul
ELITE.IS,ELITE NATUREL ORGANIK GIDA,BIST,,,TR,TRY,borsa_istanbul
